Manual Annnotated Label(s)	Query
tech, repairs	should tempered glass cover the whole screen
tech	should gpu scaling be on or off
tech	should be in cidr format ubuntu
tech	should child have own apple id
tech	should pikachu learn double team
tech	should wireless access point have same ssid as router
tech	should main always return a value
tech	should both sensors on garage door be green
tech	should component update parameters
tech	should speakers be wired in series or parallel
tech	should upload speed be high or low
tech	should a battery bubble when charging
tech	should wi-fi calling be turned on or off
tech	should jpa entities be serializable
repairs	should there be any slack in a timing chain
repairs	should washing machine have water in it
repairs	should a coil be hot on both sides
repairs	should struts be replaced
repairs	should a diesel smoke on startup
repairs	should the fan on my thermostat be on auto or on
repairs	should vapor pressure ever be negative
repairs	should a new concrete slab crack
repairs	should pool pump be bolted down
repairs	should my car be running when i check the oil
repairs	should trip switches be up or down
religion	should christian meditate
religion	should jehovah's witness have facebook
relationships, religion	should a scorpio date a scorpio
relationships	should there always be a spark in a relationship
relationships	should there be boundaries in a relationship
relationships	should your partner make you a better person
pets,debate	should dogs sleep on the bed with you
pets	should dogs eat cottage cheese
pets	should my dog be inside or outside
pets	should an album name be italicized
pets	should a 5 week old puppy drink water
pets	should your dog be grain free
pets	should dog sleep in crate overnight
pets	should dogs eat greenies
pets	should dogs have squeaky toys
lyrics	should have known better hinder lyrics meaning
lyrics	should all acquaintance be forgot
lyrics	should have known i was coming lyrics
legal, etiquette	should resume include personal information
legal	should both parents claim dependents on w4
legal	should subcontractors have their own insurance
legal	should freelancers pay tax
legal	should potential clients have access to their attorney's track record in court
legal	should my tax code change
legal	should cash flow statement include interest expenses
legal	should schools have elevators
legal	should stock based compensation be included in ebitda
legal	should a freelancer form an llc
language	should kindergarten teacher be capitalized
language	should could would test
language	should have could have konu anlatımı
language	should medical director be capitalized
language	should sir be capitalised
language	should have vs. should of
language	should a sentence start with because
language	should au passé
language	should apprenticeship be capitalizing
language	should education be banned
language	should with questions
language	should a person's job title be capitalized
language	should the subject line in an email be capitalized
language	should do in japanese
language	should not bear the cost
language	should a cover letter be double spaced
language	should a poem rhyme
language	should time allow
language	should east west north and south be capitalized
language	should ought to must exercises
language	should wizard hit mommy in english
language	should axis titles be capitalized
language	should take place synonym
language	should not be condoned
language	should no be capitalized in a title
